GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
AC-DC (Pro) (Stern 2012),AC-DC (Pro) (Stern 2012),AC-DC (Pro) (Stern 2012),,Stern,2012,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=5767,5767,,Steve Ritchie,"Ninuzzu, Dark, Knorr, Rusty Cardores, Rys, Peter J, Javier",1.0,acd_170,
AC-DC Back In Black (Limited Edition) (Stern 2012),AC-DC Back In Black (Limited Edition) (Stern 2012),AC-DC Back In Black (Limited Edition) (Stern 2012),,Stern,2012,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=5777,5777,,Steve Ritchie,"Ninuzzu, Javier15, DjRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Rom, Zedonius",1.5,acd_170h,
Accept (Germany) (Original 2019),Accept (Germany) (Original 2019),Accept (Germany) (Original 2019),,Original,2019,,SS,,,Not Available,,,,"Batch, Thalamus, Kalavera. JPSalas, Xenonph, Flupper1, Kiwi, RetroBash, Zanny",1.0,algar_l1,
Ace of Speed (Original 2019),Ace of Speed (Original 2019),Ace of Speed (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Mussinger, Herweh, David Vicente, David Maldonado, JPJ, Scottywic, NailBuster, Rik Laubach, Vero, Vogliadicane",1.0,mousn_l4,
Ace Ventura - Pet Detective (Original 2019),Ace Ventura - Pet Detective (Original 2019),Ace Ventura - Pet Detective (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Ivantba, JPSalas",1.0,stest,
Aces & Kings (Williams 1970),Aces & Kings (Williams 1970),Aces & Kings (Williams 1970),,Williams,1970,4,EM,,Cards - Gambling,https://www.ipdb.org/machine.cgi?id=11,11,,Steve Kordek,"Albert, -=Kees=-",1.0,,
Aces & Kings (Williams 1970),Aces & Kings (Williams 1970),Aces & Kings (Williams 1970),,Williams,1970,4,EM,,Cards - Gambling,https://www.ipdb.org/machine.cgi?id=11,11,,Steve Kordek,-=Kees=-,1.11,,
Aces High (Bally 1965),Aces High (Bally 1965),Aces High (Bally 1965),,Bally,1965,4,EM,,Gambling - Poker - Riverboat,http://www.ipdb.org/machine.cgi?id=9,9,,Ted Zale,"Dakarx, -=Kees=-",1.10,,
Aces High (Bally 1965),Aces High (Bally 1965),Aces High (Bally 1965),,Bally,1965,4,EM,,Gambling - Poker - Riverboat,http://www.ipdb.org/machine.cgi?id=9,9,,Ted Zale,Mustang1961,1.0,,
Aces High (Bally 1965),Aces High (Bally 1965),Aces High (Bally 1965),,Bally,1965,4,EM,,Gambling - Poker - Riverboat,http://www.ipdb.org/machine.cgi?id=9,9,,Ted Zale,Kees,1.0,,
