GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Masters of the Universe (Original 2018),Masters of the Universe (Original 2018),Masters of the Universe (Original 2018),,Original,2018,,SS,,,Not Available,,,?,"Randr, Rom, TerryRed, Thalamus, Flupper, Kds70, LynnInDenver",1.0b,,
Mata Hari (Bally 1978),Mata Hari (Bally 1978),Mata Hari (Bally 1978),,Bally,1978,4,SS,,Historical,http://www.ipdb.org/machine.cgi?id=4501,4501,,Jim Patla,"Arconovum, Allknowing2012",1.0 FSS Rev. R2.5,matahari,
Mata Hari (Bally 1978),Mata Hari (Bally 1978),Mata Hari (Bally 1978),,Bally,1978,4,SS,,Historical,http://www.ipdb.org/machine.cgi?id=4501,4501,,Jim Patla,"Bigus1, Allknowing2012",1.4,matahari,
Mata Hari (Bally 1978),Mata Hari (Bally 1978),Mata Hari (Bally 1978),,Bally,1978,4,SS,,Historical,http://www.ipdb.org/machine.cgi?id=4501,4501,,Jim Patla,Allknowing2012,1.0a,matahari,
Max Mad 2 The Road Warrior (Original 2019),Max Mad 2 The Road Warrior (Original 2019),Max Mad 2 The Road Warrior (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Ivantba, Sliderpoint",1.0,rdkng_l4,
Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Skitso, Rothbauerw, Bord, Tom Tower, Ninuzzu",1.1,mm_109c,
Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Tom Tower, Ninuzzu",1.1,mm_109c,
Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Dozer316, Hanibal2001",1.5,mm_109c,
Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Tom Tower, Ninuzzu",2.4,mm_109c,
Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),Medieval Madness (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Ninuzzu, Tom Tower, Dozer",1.0,mm_109c,
Medieval Madness - VR Room (Williams 1997),Medieval Madness - VR Room (Williams 1997),Medieval Madness - VR Room (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Gear323, Skitso, Rothbauerw, Bord, Tom Tower, Ninuzzu, 3rdaxis, Caligula",1.1,mm_109c,
Medieval Madness Reloaded (Williams 1997),Medieval Madness Reloaded (Williams 1997),Medieval Madness Reloaded (Williams 1997),,Williams,1997,4,SS,,Fantasy - Medieval - Wizards - Magic,http://www.ipdb.org/machine.cgi?id=4032,4032,,Brian Eddy,"Tom Tower, JPSalas, Dozer, Pinball Ken, Jamin, Macho, Joker, PacDude, Clark Kent, Zany, Knorr",1.0.1,mm_109c,
Medusa (Bally 1981),Medusa (Bally 1981),Medusa (Bally 1981),,Bally,1981,4,SS,,Fantasy - Myth and Legend,http://www.ipdb.org/machine.cgi?id=1565,1565,,Wally Welch,"JPSalas, Kiwi",1.0.4,medusa,
Melody (Gottlieb 1967),Melody (Gottlieb 1967),Melody (Gottlieb 1967),,Gottlieb,1967,1,EM,,Music - Caroling,http://www.ipdb.org/machine.cgi?id=1566,1566,,Ed Krynski,"Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim",1.0,,
Memory Lane (Stern 1978),Memory Lane (Stern 1978),Memory Lane (Stern 1978),,Stern,1978,4,SS,,Sports - Bowling,http://www.ipdb.org/machine.cgi?gid=1570,1570,,"Sam Stern, Mike Kubin","Tom, ScottyVH, Randr, Thalamus, 32assassin",1.1,memlane,
Memory Lane (Stern 1978),Memory Lane (Stern 1978),Memory Lane (Stern 1978),,Stern,1978,4,SS,,Sports - Bowling,http://www.ipdb.org/machine.cgi?gid=1570,1570,,"Sam Stern, Mike Kubin","Arconovum, ScottyVH",.09A FSS Rev. R2.5,memlane,
Memory Lane (Stern 1978),Memory Lane (Stern 1978),Memory Lane (Stern 1978),,Stern,1978,4,SS,,Sports - Bowling,http://www.ipdb.org/machine.cgi?gid=1570,1570,,"Sam Stern, Mike Kubin","GrayGhost, Dboyrecords",1.1,memlane,
Memory Lane (Stern 1978),Memory Lane (Stern 1978),Memory Lane (Stern 1978),,Stern,1978,4,SS,,Sports - Bowling,http://www.ipdb.org/machine.cgi?gid=1570,1570,,"Sam Stern, Mike Kubin","ScottyVH, 32assassin",0.09d,memlane,
Merry-Go-Round (Gottlieb 1960),Merry-Go-Round (Gottlieb 1960),Merry-Go-Round (Gottlieb 1960),,Gottlieb,1960,2,EM,,Amusement Park,https://www.ipdb.org/machine.cgi?id=1578,1578,,Wayne Neyens,"Hsm, Margoni, Albert, Loserman76",1.2,,
Metal Slug (Original 2017),Metal Slug (Original 2017),Metal Slug (Original 2017),,Original,2017,,SS,,,Not Available,,,?,"Javier, Pinwizkid, Arngrim",1.03,,
Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),,Stern,2013,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=6030,6030,,John Borg,"Mussinger, HauntFreaks",Christmas Edition,mtl_170h,
Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),,Stern,2013,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=6030,6030,,John Borg,Sliderpoint,1.0,mtl_170h,
Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),,Stern,2013,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=6030,6030,,John Borg,"HauntFreaks, Freneticamnesic, 85vett, SliderPoint, Peter Docker, DJRobX, Draifet, Arngrim",1.5,mtl_170h,
Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),Metallica (Premium Monsters) (Stern 2013),,Stern,2013,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=6030,6030,,John Borg,"Byancey, Sliderpoint",1.2,mtl_170h,
Metallica (Premium Monsters) - VR Room (Stern 2013),Metallica (Premium Monsters) - VR Room (Stern 2013),Metallica (Premium Monsters) - VR Room (Stern 2013),,Stern,2013,4,SS,,Licensed Theme - Music,http://www.ipdb.org/machine.cgi?id=6030,6030,,John Borg,"Senseless, Freneticamnesic, 85vett, Sliderpoint, HauntFreaks, 3rdaxis, Caligula",1,mtl_170h,
Meteor (Stern 1979),Meteor (Stern 1979),Meteor (Stern 1979),,Stern,1979,4,SS,,Outer Space - Licensed Theme,http://www.ipdb.org/machine.cgi?id=1580,1580,,Steve Kirk,Scotty VH,1.0,meteor,
Meteor (Taito do Brasil 1981),Meteor (Taito do Brasil 1981),Meteor (Taito do Brasil 1981),,Taito do Brasil,1981,4,SS,,Outer Space,http://www.ipdb.org/machine.cgi?id=4571,4571,,Steve Kirk,"JPSalas, Carlos Guizzo, Pmax65",2.0.0,,
Metropolis (Maresa 1982),Metropolis (Maresa 1982),Metropolis (Maresa 1982),,Maresa,1982,,EM,,Fantasy - Outer Space - Science Fiction,https://www.ipdb.org/machine.cgi?id=5732,5732,,?,"JPSalas, Akiles50000, Loserman76, Kiwi",1.0.0,,
Miami Vice (Original 2020),Miami Vice (Original 2020),Miami Vice (Original 2020),,Original,2020,4,SS,,,Not Available,,,?,"Ivantba, Bord",1.0,comet_l5,
Mibs (Gottlieb 1969),Mibs (Gottlieb 1969),Mibs (Gottlieb 1969),,Gottlieb,1969,1,EM,,Playing Marbles,http://www.ipdb.org/machine.cgi?id=1589,1589,,Ed Krynski,"Loserman76, Noah Fentz, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog",1.0b,,
Michael Jackson (Original 2020),Michael Jackson (Original 2020),Michael Jackson (Original 2020),,Original,2020,4,SS,,Music,Not Available,,,?,"Marty, JPSalas",1.1,rock,
Midnight Magic (Atari 1986),Midnight Magic (Atari 1986),Midnight Magic (Atari 1986),,Atari,1986,,EM,,,https://en.wikipedia.org/wiki/Midnight_Magic_(Atari_2600),2600,,?,Lizard,1.0,,
Minecraft (Original 2020),Minecraft (Original 2020),Minecraft (Original 2020),,Original,2020,4,SS,,,Not Available,,,?,"Davor Lipovac, Ivantba, JPSalas",1.2,skatebrd,
Mini Cycle (Gottlieb 1970),Mini Cycle (Gottlieb 1970),Mini Cycle (Gottlieb 1970),,Gottlieb,1970,2,EM,,,http://www.ipdb.org/machine.cgi?id=1604,1604,,Ed Krynski,"Loserman76, HauntFreaks, Grizz, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0b,,
Mini Pool (Gottlieb 1969),Mini Pool (Gottlieb 1969),Mini Pool (Gottlieb 1969),,Gottlieb,1969,1,EM,,Billiards,https://www.ipdb.org/machine.cgi?id=1605,1605,,Ed Krynski,Loserman76,1.0,,
Minions Pinball (Original 2017),Minions Pinball (Original 2017),Minions Pinball (Original 2017),,Original,2017,,SS,,,Not Available,,,?,"Javier1515, Rom",1.0,,
Miraculous (Original 2019),Miraculous (Original 2019),Miraculous (Original 2019),,Original,2019,,EM,,,Not Available,,,?,JPSalas,1.0.1,,
Misfits (Original 2019),Misfits (Original 2019),Misfits (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Kenji, Siggi",1.0,frpwr_c7,
Miss World (Geiger 1982),Miss World (Geiger 1982),Miss World (Geiger 1982),,Geiger,1982,4,SS,,Fantasy,http://www.ipdb.org/machine.cgi?id=3970,3970,,?,"Tom, Tab, Jbg4208, 32assassin, Thalamus, Wildman, Warioland",1.3d,,
Miss-O (Williams 1969),Miss-O (Williams 1969),Miss-O (Williams 1969),,Williams,1969,1,EM,,Billiards,http://www.ipdb.org/machine.cgi?id=1612,1612,,Norm Clark,"HauntFreaks, BorgDog",1.0,,
Missing In Action (Original 2018),Missing In Action (Original 2018),Missing In Action (Original 2018),,Original,2018,,SS,,,Not Available,,,?,"Ivantba, JPSalas, Xenonph",1.1,eldorado,
Mississippi (Recreativos Franco 1973),Mississippi (Recreativos Franco 1973),Mississippi (Recreativos Franco 1973),,Recreativos Franco,1973,1,EM,,American Places - Playing Cards - Women,https://www.ipdb.org/machine.cgi?id=5955,5955,,?,"JPSalas, Akiles50000, Loserman76, Elo_Rey, Javier Lopez, Kiwi",1.0.1,,
Monday Night Football (Data East 1989),Monday Night Football (Data East 1989),Monday Night Football (Data East 1989),,Data East,1989,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=1616,1616,,"Joe Kaminkow, Ed Cebula",Allknowing2012,1.1,mnfb_c27,
Monopoly (Stern 2001),Monopoly (Stern 2001),Monopoly (Stern 2001),,Stern,2001,4,SS,,Board Game - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4505,4505,,Pat Lawlor,"32assassin, JPSalas, Ckpin, Pacdude",0.9,monopoly,
Monopoly (Stern 2001),Monopoly (Stern 2001),Monopoly (Stern 2001),,Stern,2001,4,SS,,Board Game - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4505,4505,,Pat Lawlor,"Ckpin, JPSalas, Pacdude, Flupper, Wildman",1.2,monopoly,
Monster Bash (Williams 1998),Monster Bash (Williams 1998),Monster Bash (Williams 1998),,Williams,1998,4,SS,,Horror - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4441,4441,,George Gomez,"Tom Tower, Ninuzzu",1.3,mb_106b,
Monster Bash (Williams 1998),Monster Bash (Williams 1998),Monster Bash (Williams 1998),,Williams,1998,4,SS,,Horror - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4441,4441,,George Gomez,"Arconovum, Randr, Arngrim, Fren, IcpJuggla, Tom Tower, UncleWilly, Ninuzzu, ClarkKent",1.3,mb_106b,
Monster Bash (Williams 1998),Monster Bash (Williams 1998),Monster Bash (Williams 1998),,Williams,1998,4,SS,,Horror - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4441,4441,,George Gomez,"Randr, Unclewilly, Hanibal, Arngrim, ICPjuggla, Tom Tower, Ninuzzu, Clark Kent",1.3,mb_106b,
Monster Bash (Williams 1998),Monster Bash (Williams 1998),Monster Bash (Williams 1998),,Williams,1998,4,SS,,Horror - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4441,4441,,George Gomez,Hanibal2001,2.0,mb_106b,
Monster Bash (Williams 1998),Monster Bash (Williams 1998),Monster Bash (Williams 1998),,Williams,1998,4,SS,,Horror - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4441,4441,,George Gomez,Hanibal2001,2.3,mb_106b,
Monster Rancher Pinball (Original 2019),Monster Rancher Pinball (Original 2019),Monster Rancher Pinball (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Bigkahuna707, 32assassin, Krugger99, Flupper1, nFozzy",1.0,,
Monsters (Dream Pinball 3D 2016),Monsters (Dream Pinball 3D 2016),Monsters (Dream Pinball 3D 2016),,Dream Pinball 3D,2016,,SS,,,Not Available,,,?,TheGhost787,1.1,,
Monte Carlo (Bally 1973),Monte Carlo (Bally 1973),Monte Carlo (Bally 1973),,Bally,1973,4,EM,,Cards - Gambling,http://www.ipdb.org/machine.cgi?id=1621,1621,,John Trudeau,"Kees, Leon Spalding",1.00,,
Monte Carlo (Bally 1973),Monte Carlo (Bally 1973),Monte Carlo (Bally 1973),,Bally,1973,4,EM,,Cards - Gambling,http://www.ipdb.org/machine.cgi?id=1621,1621,,John Trudeau,"Albert, Kees",5.0,,
Monte Carlo (Gottlieb 1987),Monte Carlo (Gottlieb 1987),Monte Carlo (Gottlieb 1987),,Gottlieb,1987,4,SS,,Gambling,http://www.ipdb.org/machine.cgi?id=1622,1622,,John Trudeau,"Rascal, Destruk, Lander, Tab, XtremeMame, Roccodimarco, BorgDog",1.4,mntecrlo,
Mortal Kombat (Original 2016),Mortal Kombat (Original 2016),Mortal Kombat (Original 2016),,Original,2016,,SS,,,Not Available,,,?,TheGhost787,1.0,,
Mortal Kombat II Pinball Edition (Original 2016),Mortal Kombat II Pinball Edition (Original 2016),Mortal Kombat II Pinball Edition (Original 2016),,Original,2016,,SS,,,Not Available,,,?,"Javier15, JPSalas",1.0.1,,
Motley Crue (Original 2017),Motley Crue (Original 2017),Motley Crue (Original 2017),,Original,2017,,SS,,Music,Not Available,,,?,Mofstedahl,1.0,,
Motorhead (Original 2018),Motorhead (Original 2018),Motorhead (Original 2018),,Original,2018,4,SS,,Music,Not Available,,,?,"Batch, 32assassin, Flupper1, Thalamus, Xenonph, Wizball, Kiwi, Fuzzel",1.1,blkou_l1,
Mousin' Around! (Bally 1989),Mousin' Around! (Bally 1989),Mousin' Around! (Bally 1989),,Bally,1989,4,SS,,,http://www.ipdb.org/machine.cgi?id=1635,1635,,Ward Pemberton,"Herweh, Schreibi34, OldSkoolGamer, ICPjuggla, Herweh, Cosmic80, Flupper, JPSalas, 32assassin, Sliderpoint, Ninuzzu, Dark, DJRobX, RothbauerW, tttttwii, Bord, Thalamus",1.1,mousn_l4,
Mr. & Mrs. Pac-Man Pinball (Bally 1982),Mr. & Mrs. Pac-Man Pinball (Bally 1982),Mr. & Mrs. Pac-Man Pinball (Bally 1982),,Bally,1982,4,SS,,Happiness - Games,http://www.ipdb.org/machine.cgi?id=1639,1639,,George Christian,"32assassin, Francisco666",1.0,m_mpac,
Mr. & Mrs. Pac-Man Pinball (Bally 1982),Mr. & Mrs. Pac-Man Pinball (Bally 1982),Mr. & Mrs. Pac-Man Pinball (Bally 1982),,Bally,1982,4,SS,,Happiness - Games,http://www.ipdb.org/machine.cgi?id=1639,1639,,George Christian,Shockman,1.2,m_mpac,
Mr. Black (Taito do Brasil 1982),Mr. Black (Taito do Brasil 1982),Mr. Black (Taito do Brasil 1982),,Taito do Brasil,1982,4,SS,,Fantasy,http://www.ipdb.org/machine.cgi?id=4586,4586,,Barry Oursler,"JPSalas, Carlos Guizzo, Pmax65",2.0.0,mrblack,
Mr. Bubble (Original 2018),Mr. Bubble (Original 2018),Mr. Bubble (Original 2018),,Original,2018,,EM,,,Not Available,,,?,SpookyMoulder,0.9,,
Mustang (Gottlieb 1977),Mustang (Gottlieb 1977),Mustang (Gottlieb 1977),,Gottlieb,1977,2,EM,,American West - Western,http://www.ipdb.org/machine.cgi?id=1645,1645,,Ed Krynski,"Loserman76, GNance",1.0,,
Mustang (Limited Edition) (Stern 2014),Mustang (Limited Edition) (Stern 2014),Mustang (Limited Edition) (Stern 2014),,Stern,2014,4,SS,,Automobiles - Cars - Travel - Licensed Theme,http://www.ipdb.org/machine.cgi?id=6100,6100,,John Trudeau,"Siggi, Dozer, Loserman76",1.1,,
Mustang (Limited Edition) (Stern 2014),Mustang (Limited Edition) (Stern 2014),Mustang (Limited Edition) (Stern 2014),,Stern,2014,4,SS,,Automobiles - Cars - Travel - Licensed Theme,http://www.ipdb.org/machine.cgi?id=6100,6100,,John Trudeau,"Dozer, Dark, Stat",1.1,,
Mustang (Limited Edition) - VR Room (Stern 2014),Mustang (Limited Edition) - VR Room (Stern 2014),Mustang (Limited Edition) - VR Room (Stern 2014),,Stern,2014,4,SS,,Automobiles - Cars - Travel - Licensed Theme,http://www.ipdb.org/machine.cgi?id=6100,6100,,John Trudeau,"Senseless, Siggi, Rawd, Arvid, Dozer, Caligula",1.0,,
Mystery Castle (Alvin G 1993),Mystery Castle (Alvin G 1993),Mystery Castle (Alvin G 1993),,Alvin G,1993,4,SS,,Horror - Supernatural,http://www.ipdb.org/machine.cgi?id=1647,1647,,"Wally Welch, Michael Gottlieb","AgentEighty6, Gtxjoe, DJRobX, Arngrim, Thalamus, Vogliadicane, Kds70",1.1.0,mystcast,
Mystery Castle - VR (Alvin G 1993),Mystery Castle - VR (Alvin G 1993),Mystery Castle - VR (Alvin G 1993),,Alvin G,1993,4,SS,,Horror - Supernatural,http://www.ipdb.org/machine.cgi?id=1647,1647,,"Wally Welch, Michael Gottlieb","Senseless, AgentEighty6, Gtxjoe, DJRobX, Rawd, Caligula",1.0,mystcast,
Mystic (Bally 1980),Mystic (Bally 1980),Mystic (Bally 1980),,Bally,1980,4,SS,,Circus - Carnival - Magic,http://www.ipdb.org/machine.cgi?id=1650,1650,,George Christian,32assassin,1.1,mysticb,
Nairobi (Maresa 1966),Nairobi (Maresa 1966),Nairobi (Maresa 1966),,Maresa,1966,1,EM,,Hunting - Safari - World Places,https://www.ipdb.org/machine.cgi?id=6229,6229,,?,"JPSalas, Akiles50000, Loserman76, Kiwi, Jose Navarro, Basilio Garcia",1.0.1,,
Nascar (Stern 2005),Nascar (Stern 2005),Nascar (Stern 2005),,Stern,2005,4,SS,,NASCAR - Racing - Cars - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5093,5093,,Pat Lawlor,"Requlem, Zedonius",1.01,dalejr,
Nascar (Stern 2005),Nascar (Stern 2005),Nascar (Stern 2005),,Stern,2005,4,SS,,NASCAR - Racing - Cars - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5093,5093,,Pat Lawlor,"RustyCardores, Requlem, HauntFreaks, DJRobX",1.2,dalejr,
Nascar - to - Dale Jr. (Stern 2005),Nascar - to - Dale Jr. (Stern 2005),Nascar - to - Dale Jr. (Stern 2005),,Stern,2005,4,SS,,NASCAR - Racing - Cars - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5093,5093,,Pat Lawlor,"32assassin, Tab, JP, Requiem",1.0,dalejr,
Nascar - to - Grand Prix (Stern 2005),Nascar - to - Grand Prix (Stern 2005),Nascar - to - Grand Prix (Stern 2005),,Stern,2005,4,SS,,NASCAR - Racing - Cars - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5093,5093,,Pat Lawlor,32assassin,1.0,dalejr,
National Lampoon's Christmas Vacation (Original 2019),National Lampoon's Christmas Vacation (Original 2019),National Lampoon's Christmas Vacation (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Stevegooner123, Wildman, Lizard, Xenonph",1.0,playboy,
NBA Fastbreak (Bally 1997),NBA Fastbreak (Bally 1997),NBA Fastbreak (Bally 1997),,Bally,1997,4,SS,,Sport - Basketball - Licensed theme,http://www.ipdb.org/machine.cgi?id=4023,4023,,George Gomez,"DarthMarino, Hmueck, Aurich, Bmiki75, JPSalas, DJRobX, CarnyPriest",1.2,nbaf_31,
NBA Fastbreak (Bally 1997),NBA Fastbreak (Bally 1997),NBA Fastbreak (Bally 1997),,Bally,1997,4,SS,,Sport - Basketball - Licensed theme,http://www.ipdb.org/machine.cgi?id=4023,4023,,George Gomez,"Batch, Aurich, Bmiki75, JPSalas, Hmueck",1.0,nbaf_31,
NBA Fastbreak (Bally 1997),NBA Fastbreak (Bally 1997),NBA Fastbreak (Bally 1997),,Bally,1997,4,SS,,Sport - Basketball - Licensed theme,http://www.ipdb.org/machine.cgi?id=4023,4023,,George Gomez,Hmueck,1.0,nbaf_31,
Need For Speed (Original 2018),Need For Speed (Original 2018),Need For Speed (Original 2018),,Original,2018,,SS,,,Not Available,,,?,"Ivantba, Javier1515, Rom",1.2,,
Neptune (Gottlieb 1978),Neptune (Gottlieb 1978),Neptune (Gottlieb 1978),,Gottlieb,1978,1,EM,,,http://www.ipdb.org/machine.cgi?id=1662,1662,,John Osborne,"Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim, Chris Aguilar",1.0,,
Neptune (Gottlieb 1978),Neptune (Gottlieb 1978),Neptune (Gottlieb 1978),,Gottlieb,1978,1,EM,,,http://www.ipdb.org/machine.cgi?id=1662,1662,,John Osborne,"BorgDog, HauntFreaks",1.0,,
New Sexy Girl (Original 1980),New Sexy Girl (Original 1980),New Sexy Girl (Original 1980),,Original,1980,4,SS,,Girls - Women,http://www.ipdb.org/machine.cgi?id=2106,2106,,?,"Siggi, Lizard",1.0,playboy,
New Wave (Bell Games 1985),New Wave (Bell Games 1985),New Wave (Bell Games 1985),,Bell Games,1985,4,SS,,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=3482,3482,,?,"Scotty VH, Cyber[ez, JPSalas, Thalamus",0.72,newwave,
New World (Playmatic 1976),New World (Playmatic 1976),New World (Playmatic 1976),,Playmatic,1976,4,EM,,Historical,https://www.ipdb.org/machine.cgi?id=1672,1672,,?,"JPSalas, Pedator",1.0.0,,
New York (Gottlieb 1976),New York (Gottlieb 1976),New York (Gottlieb 1976),,Gottlieb,1976,2,EM,,Commemorative - Historical,http://www.ipdb.org/machine.cgi?id=1673,1673,,Ed Krynski,"Loserman76, Allknowing2012, Wildman",1.0,,
NFL - 49ers (Stern 2001),NFL - 49ers (Stern 2001),NFL - 49ers (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Bears (Stern 2001),NFL - Bears (Stern 2001),NFL - Bears (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Bengals (Stern 2001),NFL - Bengals (Stern 2001),NFL - Bengals (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Bills (Stern 2001),NFL - Bills (Stern 2001),NFL - Bills (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Broncos (Stern 2001),NFL - Broncos (Stern 2001),NFL - Broncos (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Browns (Stern 2001),NFL - Browns (Stern 2001),NFL - Browns (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Buccaneers (Stern 2001),NFL - Buccaneers (Stern 2001),NFL - Buccaneers (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Cardinals (Stern 2001),NFL - Cardinals (Stern 2001),NFL - Cardinals (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Chargers (Stern 2001),NFL - Chargers (Stern 2001),NFL - Chargers (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Chiefs (Stern 2001),NFL - Chiefs (Stern 2001),NFL - Chiefs (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Colts (Stern 2001),NFL - Colts (Stern 2001),NFL - Colts (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Cowboys (Stern 2001),NFL - Cowboys (Stern 2001),NFL - Cowboys (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Dolphins (Stern 2001),NFL - Dolphins (Stern 2001),NFL - Dolphins (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Eagles (Stern 2001),NFL - Eagles (Stern 2001),NFL - Eagles (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Falcons (Stern 2001),NFL - Falcons (Stern 2001),NFL - Falcons (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Giants (Stern 2001),NFL - Giants (Stern 2001),NFL - Giants (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Jaguars (Stern 2001),NFL - Jaguars (Stern 2001),NFL - Jaguars (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
NFL - Jets (Stern 2001),NFL - Jets (Stern 2001),NFL - Jets (Stern 2001),,Stern,2001,4,SS,,Sports - Football,http://www.ipdb.org/machine.cgi?id=4540,4540,,?,"Xenonph, SliderPoint",3.1,nfl,
